ID,RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,RV,logg,[Fe/H],Dist,PQSO,PGal,Pstar,PWD,Pbin,Teff,A0,AG,ABP,ARP,E(BP-RP),GMAG,Rad,Rad-Flame,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,Evol,SpType-ELS,Flags-HS,EWHa,e_EWHa,f_EWHa
64547,87.44600288843,41.42459747229,191943394130606848,0.0182,0.0152,1.154,0.021,8.118,7.286,0.023,-3.58,0.015,1.036,14.079695999999998,0.002762,14.505088,0.0032,13.481124,0.003845,13.232607000000002,0.048966,-61.9,4.1721,-0.2058,782.5387,0.0,0.0,0.99997115,0.0,2.881e-05,5750.4927,0.5481,0.4525,0.5714,0.3275,0.2439,4.1521,1.2731,1.3656,1.8312072,0.994,10.37,0.42912778,410.0,G      ,92,0.06942,0.02698,0
62389,24.4508020843,61.14191954451,509949271023729664,0.0392,0.0454,0.3386,0.0692,1.106,-1.096,0.051,-0.146,0.057,1.055,17.013655,0.002874,17.550394,0.008386,16.169092000000003,0.0087599999999999,,,,4.3803,-1.406,2797.5942,0.0,0.0,0.99999887,0.0,1.14e-06,9717.052,2.9856,2.5585,3.1799,1.7863,1.3936,2.1924,1.2731,1.2681,14.05477,,,0.7176212,,B      ,95,0.26161,0.13118,0
3962,76.47781252053001,36.82759025916,186501395688955648,0.0314,0.0174,0.3123,0.0328,2.116,0.8759999999999999,0.0409999999999999,-1.927,0.027,0.961,15.345678,0.002774,15.651197,0.003144,14.864151,0.004194,,,,4.0395,-1.4178,3351.7705,0.0,0.0,0.9999906,0.0,9.37e-06,9618.42,1.6428,1.4829,1.7952,0.9956,0.7997,1.2296,2.0063,1.7191,22.792122,2.15,,0.5148057,133.0,B      ,93,0.53169,0.04208,0
79146,97.04939826628,44.17475646736,959169860527981056,0.0161,0.0147,0.3616,0.0184,3.692,-1.453,0.018,-3.394,0.015,1.107,12.790572,0.002777,12.847444,0.002848,12.687878,0.0038369999999999,,,,3.7359,-0.5578,3077.434,0.0,0.0,0.9999181,1e-08,8.189e-05,9719.25,0.371,0.3534,0.4164,0.2277,0.1886,-0.0068,3.4564,2.8723,66.46056999999999,2.594,0.3929999999999999,0.44513535,243.0,B      ,1,0.46946,0.01563,0
7924,45.14661776012,18.59276077918,35904689644575872,0.1858,0.1677,2.753,0.2181,14.649,-8.289,0.245,-12.078,0.1939999999999999,14.769,12.230337,0.002779,12.718069,0.002904,11.560829,0.003836,11.314007,0.040545,-39.97,3.5801,-0.0998,712.0914,0.0,0.0,0.9999339,0.0,6.612e-05,5320.656999999999,0.5329999999999999,0.4294,0.5467,0.317,0.2297,2.5297,3.2011,1.6126,1.8845834,0.955,12.929,0.28131452,459.0,K      ,95,0.00731,0.01936,0
40009,34.51177626801,27.81381358525,106815085033225088,0.0147,0.0136,0.8844,0.0164,5.397,2.314,0.02,-4.876,0.018,0.957,13.468520000000002,0.002784,13.728471,0.003043,13.054869,0.003832,12.995226,0.075872,-5.87,4.2829,-0.1459,933.5644,0.0,0.0,0.9999243,0.0,7.566e-05,6658.4014,0.2936,0.2556,0.3153,0.1774,0.1379,3.3374,1.3549,1.5754,4.427377,1.367,1.964,0.5524915,228.0,F      ,91,0.24322,0.02875,0
66758,75.20009744959,33.14986815108,160707578750899968,0.0113,0.006,0.7502,0.0123,3.252,1.365,0.016,-2.952,0.01,0.961,12.391066,0.00276,13.233748,0.002836,11.482094,0.003789,11.090624,0.011439,-10.69,2.7602,-0.2292,1498.7832,0.0,0.0,0.99999756,0.0,2.48e-06,5142.8525,1.8712,1.4229,1.8613,1.0952,0.7662,0.098,10.6462,9.3758,55.062717000000006,2.701,0.503,0.15123136,498.0,K      ,94,0.04899,0.01079,0
72598,70.79293258159001,42.80036376914,204461475747797504,0.019,0.0139,0.7108,0.0235,7.319,0.765,0.027,-7.279,0.023,0.976,14.601885,0.0027649999999999,15.341246,0.003507,13.7531,0.003836,13.331321,0.090404,5.73,3.7429,-0.2616,1302.9086,0.0,0.0,0.9999922,0.0,7.82e-06,6209.6274,2.1425,1.7002,2.1913,1.2651,0.9262,2.3207,2.5885,2.5732,9.1234865,1.5830000000000002,2.099,0.36552846,294.0,G      ,95,0.10553,0.0282399999999999,0
36776,0.0385961592,62.77530840732,430047486156778880,0.0206,0.0228,0.2007,0.0272,2.195,-2.107,0.027,-0.617,0.03,0.954,15.535443,0.002793,15.826251,0.00362,15.07305,0.004148,,,,4.0876,-1.1574,4286.7134,0.0,0.0,0.9999895,0.0,1.049e-05,11079.286,1.7167,1.5661,1.8895,1.0432,0.8463,0.8016,2.103,2.0437,58.193882,2.695,,0.6168815,147.0,B      ,92,0.35481,0.04533,0
62751,107.44640344534,-2.85736663708,3108333669677498752,0.0834,0.0755,9.3555,0.0919,2.7430000000000003,1.537,0.0969999999999999,2.272,0.094,4.622,14.03966,0.002904,15.169032,0.005945,12.98222,0.004457,12.459459,0.028707,42.54,4.6665,-0.0792,107.9293,0.0,0.0,0.99861324,0.0,0.00138677,3742.2476,0.6213,0.426,0.5977,0.3496,0.2482,8.4379,0.5625,0.5562,0.05416505,0.5489999999999999,13.232,0.59725505,159.0,M      ,91,-0.07534,0.04181,1
89651,106.20593865078,-5.5931374727600005,3053292048875751680,0.0189,0.0191,0.3134,0.0233,1.621,0.774,0.023,-1.4240000000000002,0.023,1.402,13.888136,0.002769,14.107884,0.002964,13.519961,0.003864,13.25138,0.103444,112.56,4.0561,-0.3143,1825.3628,0.0,0.0,0.9999629,0.0,3.707e-05,7733.855,0.6123,0.5483,0.6654,0.3717,0.2936,1.9512,1.9634,2.8731,26.583776,2.047,0.875,0.5109606,264.0,A      ,12,0.36516,0.0291699999999999,0
86073,299.10919495351004,22.43850813498,1827266661843051904,0.0255,0.0307,0.5175,0.0441,8.575,-6.52,0.0279999999999999,-5.57,0.037,1.021,16.16643,0.002786,16.781685,0.003602,15.363263,0.004028,,,,4.3192,0.0171,4212.4116,0.0,0.0,0.9999991,0.0,9.1e-07,15028.121,3.4417,2.997,3.7123,2.0697,1.6426,-0.0281,2.2797,0.9896,45.159657,,,1.1232623,,B      ,11,0.1079,0.04596,0
14407,105.63608475042,32.2987701671,890701282898312320,0.02,0.0187,8.9312,0.0201,46.673,-15.04,0.023,-44.184,0.021,1.171,13.891308,0.002792,14.979221,0.003731,12.85547,0.003996,12.401993,0.077959,-13.76,4.6871,0.1329,111.3594,0.0,0.0,0.9976672,0.0,0.00233278,3868.7542,0.6496,0.4499,0.6266,0.3672,0.2594,8.1922,0.5774,0.5835,0.06864858,0.575,12.399,0.6560496,268.0,M      ,91,0.12533,0.03242,1
