Unnamed: 0,RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,RV,logg,[Fe/H],Dist,PQSO,PGal,Pstar,PWD,Pbin,Teff,A0,AG,ABP,ARP,E(BP-RP),GMAG,Rad,Rad-Flame,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,Evol,SpType-ELS,Flags-HS,EWHa,e_EWHa,f_EWHa
3685,83.85826322362,-5.90989604809,3017190546641718144,0.5647,0.4814,1.9969,0.7299,3.286,-2.8160000000000003,1.022,-1.693,0.833,8.202,2.740842,0.006527,3.0577650000000003,0.037879,2.946628,0.008529,,,,3.8374,0.0539,270.36,6e-08,6.6e-07,0.999998,1.28e-06,0.0,35000.023,0.6012,0.6107,0.7086,0.3756,0.3329999999999999,-4.9672,10.2321,,,,,,,O      ,92,0.01813,0.05083,0
919,58.53304404662,31.88359461391,168726523212358272,0.2999,0.2185,3.8556,0.4169,11.682,7.274,0.415,-9.141,0.31,2.6910000000000003,2.82199,0.00365,3.023606,0.012602,2.672661,0.008543,,,,3.1701,0.0358,429.2982,0.42483884,0.04645449,0.00045191,0.5282503000000001,4.52e-06,28444.018,1.4339,1.393,1.6484,0.8862,0.762,-6.747000000000001,26.0687,,,,,,,B      ,11,-0.0139699999999999,0.03249,0
3583,3.30897038438,15.18355074145,2769202742740232960,0.373,0.278,6.9474,0.4293,10.741,0.492,0.488,-10.73,0.409,1.973,2.853429,0.0049479999999999,3.100469,0.03775,3.005374,0.006201,,,,4.0752,-0.4895,202.2106,1e-08,7e-08,0.99999964,3.1e-07,0.0,37078.758,0.6432,0.6523,0.7577,0.4015,0.3562,-4.2536,7.2555,,,,,,,O      ,999,0.07393,0.05351,0
18504,59.46359517052,40.01009509785,229898024422755840,0.3948,0.3091,5.3316,0.4269,28.958,16.845,0.521,-23.554,0.479,3.2110000000000003,2.9042790000000003,0.004339,3.036689,0.034419,3.02814,0.004547,,,,3.8686,-0.503,322.7157,0.0,1e-08,0.99999946,5.2e-07,0.0,38816.12,0.6128,0.6218,0.7222,0.3826,0.3397,-5.2799,11.0528,,,,,,,B      ,92,0.02077,0.04063,0
32792,134.7989643318,48.04087147111,1014058103758571520,0.3491,0.2558,68.001,0.4223,489.164,-439.836,0.2769999999999999,-214.071,0.3379999999999999,4.84,3.120973,0.0035909999999999,3.418268,0.0336029999999999,2.91068,0.005006,2.856422,0.006494,13.0,3.9261,-1.7544,14.7754,1.6e-07,0.0,0.9995367,4.2e-07,0.00046268,7498.3286,0.0,0.0,0.0,0.0,0.0,2.2679,1.8435,1.8389,9.631541,1.659,1.015,0.36190647,204.0,A      ,92,0.28047,0.0277199999999999,0
34462,183.85734834773,57.03265316489,1575287046603605888,0.1325,0.1417,40.3279,0.1945,104.265,103.947,0.181,8.141,0.18,2.635,3.3111019999999995,0.003127,3.451031,0.014786,3.189543,0.004382,3.17307,0.0051049999999999,-12.39,3.9433,-0.4433,24.8566,0.0,0.0,0.9975842,3.2e-07,0.00241547,8298.355,0.0001,0.0001,0.0001,0.0,0.0,1.3182,2.3196,2.3212,23.094496,2.02,0.725,0.47459674,230.0,A      ,91,0.31889,0.02566,0
65698,28.59918850459,63.67001834766,511974502720839040,0.1411,0.1599,7.0037,0.2487,34.835,29.587,0.187,-18.387,0.191,2.467,3.3546660000000004,0.003331,3.391168,0.015702,3.418254,0.004117,,,,3.5525,-0.2792,116.1287,0.0,0.0,0.9999934,1.8e-07,6.47e-06,14805.9375,0.1224,0.1215,0.1413,0.076,0.0653,-2.0208,6.1031,7.217,3058.6343,6.551,,0.55031323,306.0,B      ,91,0.06816,0.01985,0
31152,9.24298360612,53.89686812148,418001477279154304,0.1452,0.1762,6.6657,0.3002,19.874,17.444000000000003,0.184,-9.523,0.238,2.9610000000000003,3.664362,0.003232,3.5528690000000003,0.005399,3.813564,0.004303,,,,3.6349,0.7921,177.1647,0.0,0.0,0.99999946,5.3e-07,0.0,16856.543,0.0259,0.0261,0.0302,0.0162,0.0141,-2.6045,6.517,5.6104,2288.955,6.322,,0.66828716,274.0,B      ,91,0.10613,0.02018,0
33621,245.47983846631,19.15332026864,1201067439457715072,0.0932,0.0804,16.867,0.1414,64.005,-47.283,0.113,43.139,0.1159999999999999,2.338,3.691747,0.003029,3.845034,0.005562,3.404377,0.0041979999999999,3.3417760000000003,0.007137,-30.73,3.1664,-0.3814,61.8365,0.0,0.0,0.998551,8e-08,0.00144891,7142.965,0.0006,0.0005,0.0006,0.0003,0.0003,-0.3015,6.6107,5.9937,84.275826,2.736,0.456,0.21321101,392.0,A      ,91,0.16087,0.02015,0
80658,264.86615107268995,46.00634774933,1362451076122760320,0.1642,0.1864,6.5157,0.2022,7.847,-6.928999999999999,0.196,3.682,0.204,1.617,3.790645,0.003946,3.691767,0.004102,3.907224,0.004183,,,,3.6064,0.7901,151.5367,0.0,0.0,0.99999964,3.5e-07,0.0,14346.31,0.0273,0.0272,0.0316,0.017,0.0146,-2.1383,6.0556,6.2355,1488.0138,5.397,,0.579996,299.0,B      ,91,0.07872,0.0338399999999999,0
