Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Aquarius,331.37455844534,366.1662926105,-31.22567545541,0.05785343891000139,8.0,13,350.3827924305308,-15.174699319913845
Aquila,292.87508656395,311.5694998678,4.2282824859399994,24.03121591396,8.0,3,302.21719590182994,14.485786859260001
Boötes,211.18181310776,231.86896413633,4.4305688766300015,24.41839583823,8.0,5,221.330099168766,14.655429498412001
Canis Major,88.41863391959,110.15525376154,-39.17446097694,-20.21548114621,8.0,5,99.077070202018,-29.59200121225
Centaurus,166.95809534775,221.75665384049,-71.58107294228,-29.65066190436,8.0,4,191.70723981252502,-56.60432150829
Cetus,-4.29945628227,22.40739313166,-32.216824594900004,-5.4040328211999995,8.0,7,8.65982976275,-20.090335459875714
Columba,78.30444094026,99.52313534713,-42.47619190709,-21.75880719084,8.0,6,89.22286891841001,-32.608329606485
Crater,159.11914997514,184.54138002658,-32.87362508155,-12.78654558686,8.0,3,171.03556462064,-22.602050970543335
Delphinus,295.715549828,322.63433997935,-1.9918498290699995,24.43667963416,8.0,13,309.9236164093431,9.23668640037077
Equuleus,307.66796339442004,328.84900470722,-5.233813731990001,19.65709233268,8.0,5,318.279975864236,7.822656823394
Hercules,232.65551503792005,253.76900586799,8.665712537320001,27.50603907129,8.0,4,243.69352981067502,18.359784876527502
Pegasus,315.04921895521,337.50609703274,-5.63925125056,19.71953993024,8.0,7,325.9034602435971,7.045001492491429
Sagitta,287.58056686898,308.99757331947,8.493700224560001,26.4656697377,8.0,5,298.664515950148,17.145870914321996
Sculptor,343.88919776802004,365.23194377728,-36.13074342707,-17.420618473729995,8.0,4,353.816542551915,-26.9264474069325
Serpens,224.95195606416,248.69247971838,4.723587877330001,32.70855818692,8.0,9,236.46202558443116,18.171228949404444
Virgo,218.02622987567003,234.61617635682003,-4.99086077296,13.49542755161,8.0,4,226.2904012741975,4.557692739735
Vulpecula,285.3212433353,305.76723062926004,11.66104721715,31.48021369127,8.0,8,296.114072475135,21.36469122771875
