Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Boötes,207.77193168093,228.83506743853,16.44160376676,30.29051549711,2.0,10,216.682927870297,24.016025497422998
Cancer,131.44044750576,141.46391661698,8.66814608332,17.581377287309998,2.0,5,135.71010010819,13.380781142161998
Canis Major,97.64756523978,113.2782139731,-22.64034391823,-10.39394723614,2.0,15,104.91291807011066,-16.931621465463998
Canis Minor,107.65039511831,122.30777111064,-1.72138103261,6.87991999222,2.0,4,115.42481192285751,2.2933664347725
Centaurus,172.95809534775,215.75665384049,-65.58107294228,-35.65066190436,2.0,4,191.70723981252502,-56.60432150829
Columba,84.30444094026,93.52313534713,-36.47619190709,-27.75880719084,2.0,5,88.762815632666,-33.178234089614
Crater,165.11914997514,178.54138002658,-26.873625081550003,-18.78654558686,2.0,3,171.03556462064,-22.602050970543335
Hercules,238.65551503792005,247.76900586799,14.665712537320001,21.50603907129,2.0,4,243.69352981067502,18.359784876527502
Hydra,129.12968363401,142.91782222665,-0.71984927187,7.83768158291,2.0,12,135.50166622456916,4.2082387032175
Leo,141.97015278123,149.70522585396003,8.77743691547,16.379581766279998,2.0,4,145.80584909716003,12.141911526025
Lepus,73.97208798410999,94.80690423108,-28.5851437693,-10.31085940609,2.0,17,85.25875075882882,-19.562237385942353
Monoceros,109.64221872836,123.2441894195,-13.18101647205,1.53044716812,2.0,10,116.99707702502901,-5.2166922330559995
Serpens,230.95195606416,242.46909035284,10.72358787733,20.46427791957,2.0,6,235.86708609930997,15.355619977129999
Virgo,224.02622987567003,228.61617635682003,1.00913922704,7.49542755161,2.0,4,226.2904012741975,4.557692739735
