Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-0.6957951899599999,25.56929047864,33.57084765709,50.08223531269,2.0,20,12.4163761190045,41.357753187193495
Aquarius,315.31698882332,342.74199502802,-6.36815001562,3.37740985144,2.0,8,329.42735290688256,-0.8090498407425001
Aries,28.91456196685,47.15160567933,20.829043295020004,29.2375953103,2.0,15,34.68171039701801,25.137199952692665
Auriga,70.30362062489999,80.66424418295,27.79864233698,34.58803826578,2.0,7,75.34983305131713,31.41662493555429
Boötes,208.29327458048,232.4521390587,16.911664282910003,34.93375458989,2.0,9,219.24892533096556,25.02170932093889
Camelopardalis,54.50486707641,76.02944308941,50.84109935277,69.20109687138,2.0,7,70.55286940767857,55.57402011537715
Cancer,131.14422878801,138.22919499274,30.37656006934,34.91013378101,2.0,4,134.48409746471748,32.551493693565
Canes Venatici,190.17374975862,210.29222105253,26.64826005195,51.68213630008,2.0,11,199.73626312282911,39.95043749156636
Cassiopeia,12.62991401447,40.62930148974,59.70615898955,78.71792198823,2.0,21,23.70098638722905,67.32585242652286
Cepheus,308.66531950344,368.46349023864,55.73603546657,75.61179261963001,2.0,8,264.53214768594125,69.27306042276874
Cetus,41.40908878943,47.962766646400006,-1.55222471656,10.38116469977,2.0,5,45.381903581508006,5.644823396255999
Corona Borealis,232.84260630488,247.73552913753,27.85102976643,38.63681234775999,2.0,5,239.36780879599397,33.927092185614
Cygnus,290.81737095996004,323.09468340674,27.33197552649,35.4706985579,2.0,14,306.27399835841715,31.081134770674286
Delphinus,305.08697406536,314.65479381672003,9.30317925159,22.606410049,2.0,10,309.14715501111294,16.178461237748998
Draco,236.95647329902,270.8488399785,51.80163166547,64.36994181885001,2.0,14,255.87996407267858,57.56540647459071
Gemini,101.53158608173,119.7507602791,26.11804171473,34.51132597938,2.0,7,109.85984380754144,30.451372788611422
Hercules,252.01881777532,273.77622500157,38.51590209031,51.77987860844,2.0,15,263.8883338469313,46.117991527842
Lacerta,329.02799617456003,335.45563482111,42.34509956341,52.82357353648,2.0,8,332.21806974024753,46.74665724946375
Leo Minor,146.08981182621,164.09796634215,31.90812043703,39.91438059433,2.0,4,155.9035297156,36.41650219897
Lynx,110.98157798735,146.59065625353998,33.36398733391,56.11908828577,2.0,14,129.907294249285,44.80010619646357
Lyra,273.93352643807003,288.65760935463,26.628971799370003,49.57538799785999,2.0,8,281.3402082950188,38.476003169094994
Pegasus,321.11269329442,365.30897038438,7.677250354550001,37.2137479774,2.0,32,328.84521663434504,22.39099896006188
Perseus,41.35144860257,64.41223594302,29.12678662856,37.791042068690004,2.0,14,47.4801382469543,34.38044812033428
Pisces,5.696322795369999,18.9885999223,14.037603663599999,33.80412443948,2.0,7,13.77467276298,23.05695181663429
Sagitta,293.58056686898,302.99757331947,14.493700224560001,22.99825519637,2.0,5,298.96576756937003,17.973986248078
Serpens,227.14929071848,239.21027620896,7.712971843329999,20.46427791957,2.0,5,233.47005544263197,13.956511168212
Taurus,60.29202415441,70.03293814930001,15.27737247117,23.73604224563,2.0,10,66.13332980979399,21.275541799504
Triangulum,28.74139776648,44.608639335540005,29.60766888527,37.6141928755,2.0,8,37.49199141855125,33.103077079718744
Ursa Major,152.46013654023997,185.85734834773,55.03265316489,73.06049458045,2.0,10,167.224569133177,63.39870510365
Ursa Minor,234.01507917363,256.04211265781,73.87761974115,80.96432577552,2.0,5,244.01422556859802,77.41665380319
Vulpecula,292.2776271696,315.59331436367,18.21148076785,30.52197295941,2.0,17,302.85581824856416,24.23961981961882
