Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-0.6957951899599999,25.56929047864,27.75130590539,50.08223531269,2.0,24,11.498003347223332,39.751909912975
Aries,38.50365634831,50.05941829715999,24.462376976210003,32.93558166626,2.0,9,44.51254937800999,28.899109108606662
Auriga,78.17951061403001,89.21591271666,34.31964273378,43.69584795738,2.0,5,82.33652935498,34.952292027978004
Boötes,208.29327458048,232.4521390587,16.44160376676,34.93375458989,2.0,11,219.65052447013366,25.61392343204
Camelopardalis,54.50486707641,76.02944308941,50.84109935277,69.20109687138,2.0,7,70.55286940767857,55.57402011537715
Cancer,131.44044750576,141.46391661698,8.66814608332,23.28315958296,2.0,8,136.1898442203775,15.567408058807501
Canes Venatici,190.17374975862,210.29222105253,26.64826005195,51.68213630008,2.0,11,199.73626312282911,39.95043749156636
Cassiopeia,9.3213236408,27.73378565583,53.22137253804,72.97982930449001,2.0,17,18.98673115739765,63.328223570362354
Cepheus,308.66531950344,368.46349023864,55.73603546657,75.61179261963001,2.0,18,280.10657704061504,67.25817042675943
Corona Borealis,232.10902084088,247.73552913753,27.85102976643,40.07252852457,2.0,8,239.1235679012375,34.930899077296246
Cygnus,290.81737095996004,323.09468340674,27.33197552649,35.4706985579,2.0,14,306.27399835841715,31.081134770674286
Delphinus,301.715549828,314.65479381672003,8.47237778092,22.606410049,2.0,10,308.13697594044595,16.489329716107
Draco,238.24134691408,292.41833251063,62.95001289026,85.90494422465,2.0,10,266.44820503814003,70.64368737864598
Gemini,101.53158608173,121.02677946323,17.88378998762,34.51132597938,2.0,15,111.43215615699,26.910741749631995
Hercules,252.01881777532,273.77622500157,38.51590209031,51.77987860844,2.0,10,262.182497790445,47.136355105623
Hydra,129.12968363401,142.91782222665,1.8669575634300006,7.83768158291,2.0,6,134.81985800058337,5.257036496456666
Lacerta,335.34309870494,346.26882118736,46.68404419023,58.4085089399,2.0,8,341.32728676946124,53.199673305427496
Leo,142.23783992071,156.73925214476003,15.705805907920002,33.076824502760005,2.0,5,150.33388458625,24.235691259360003
Leo Minor,153.7718638017,164.09796634215,31.90812043703,39.57031039846,2.0,4,157.82404270947248,35.74229802544
Lynx,110.98157798735,131.06492255201,33.77871570782,45.26021139868,2.0,9,123.22874868777222,40.27522749346888
Lyra,273.93352643807003,288.65760935463,26.628971799370003,49.57538799785999,2.0,9,281.7456127023845,39.00688195978333
Monoceros,95.9813260965,123.2441894195,-6.33260648233,8.3454379435,2.0,8,109.32685632795,0.5073295067162502
Pegasus,326.89670587697003,359.41446706815003,26.40342399132,37.33755393325,2.0,9,344.1735749008956,32.68970584613223
Perseus,53.59437438044001,64.41223594302,29.65244431484,37.791042068690004,2.0,8,58.0664650497275,33.90937232206
Sagitta,293.58056686898,302.99757331947,14.493700224560001,22.99825519637,2.0,5,298.96576756937003,17.973986248078
Serpens,232.17728774046,239.21027620896,10.72358787733,20.46427791957,2.0,4,235.445367544715,15.606693563177501
Taurus,54.20099235354,59.71855293609,21.71164959376,26.83905700412,2.0,13,56.94930426822385,24.14376445561077
Triangulum,28.74139776648,44.608639335540005,29.60766888527,37.6141928755,2.0,9,37.88240679421778,33.021641474673324
Ursa Major,152.46013654023997,204.1121602264,53.1594951738,73.06049458045,2.0,18,178.04236737291,61.77032517986389
Ursa Minor,234.01507917363,256.04211265781,73.87761974115,80.96432577552,2.0,5,244.01422556859802,77.41665380319
Virgo,185.29028783413003,228.02681132645,-6.10996104819,7.492694725040001,2.0,3,200.20275717180002,-0.34895079764666637
Vulpecula,292.2776271696,308.83696630458,18.21148076785,27.64825519799,2.0,16,300.4796536831882,23.3415753044925
