Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-3.69579518996,28.56929047864,30.57084765709,53.08223531269,5.0,22,12.109735590703638,40.58652198187772
Aquarius,312.31698882332,345.74199502802,-9.36815001562,6.3774098514399995,5.0,9,328.2427712376567,-1.0049244549755558
Aries,22.71623775092,46.07980878095,5.5652382941,24.68715053402,5.0,13,35.44764609779847,14.40091286042077
Auriga,80.86366844636,99.39407979985,37.9809850659,57.48888030578,5.0,9,92.12580124438888,47.011544888142225
Boötes,220.16126562802003,240.71102161497,42.27751267009,57.36103145948,5.0,7,229.2476284649657,49.245388836478575
Camelopardalis,51.50486707641,79.02944308941,47.84109935277,72.20109687138,5.0,11,55.89661386227001,56.58650692826637
Cassiopeia,9.62991401447,43.62930148974,56.70615898955,81.71792198823,5.0,9,30.158102571199997,62.44818977652999
Cepheus,305.66531950344,371.46349023864,52.73603546657,78.61179261963001,5.0,16,294.53203448499625,66.82954192099812
Cetus,39.01746002883,52.161619603690006,-0.64708576584,14.09022823223,5.0,5,45.381903581508,5.644823396255999
Corona Borealis,235.36049337661,250.73552913753,24.85102976643,43.07252852457,5.0,4,242.613947804215,33.608849805985
Cygnus,287.81737095996004,326.09468340674,24.33197552649,38.4706985579,5.0,20,306.222091566894,32.7687216268295
Delphinus,302.08697406536,317.65479381672003,6.3031792515900005,25.606410049,5.0,10,309.14715501111294,16.178461237748998
Draco,235.24134691408,295.41833251063,59.95001289026,88.90494422465,5.0,17,265.5173831186071,70.62133664131235
Gemini,98.53158608173,114.3772281559,26.697957601559995,37.51132597938,5.0,3,106.07654770964666,32.207934599296664
Hercules,249.01881777532,276.77622500157,35.51590209031,54.77987860844,5.0,13,260.6834463914369,44.652713532540766
Lacerta,326.02799617456003,338.45563482111,39.34509956341,55.82357353648,5.0,9,332.78751740299117,47.57990845199444
Lynx,100.3066849659,121.01737035553002,45.43367672266,60.28418236253,5.0,7,110.02781070859429,53.58661456387
Lyra,270.93352643807003,291.65760935463,23.628971799370003,52.57538799785999,5.0,9,281.7456127023845,39.00688195978333
Pegasus,327.52720261931,368.30897038438,4.677250354550001,40.2137479774,5.0,22,329.65506362137313,25.076493135390457
Perseus,50.59437438044001,67.41223594302,26.65244431484,40.791042068690004,5.0,8,58.0664650497275,33.90937232206
Pisces,6.807281719320001,21.9885999223,14.578742457059999,36.80412443948,5.0,7,13.77467276298,23.05695181663429
Sagitta,290.58056686898,305.99757331947,11.493700224560001,25.99825519637,5.0,5,298.96576756937003,17.973986248078
Sculptor,347.1049852138,362.23194377728,-33.13074342707,-20.420618473729995,5.0,3,354.45899081321335,-26.809224387496666
Taurus,56.33523408583,73.03293814930001,14.840414060130001,29.30094189164,5.0,11,70.05232309916818,26.55199908662091
Triangulum,25.74139776648,47.608639335540005,26.60766888527,40.6141928755,5.0,8,37.49199141855125,33.103077079718744
Ursa Major,149.46013654023997,200.18311488813,50.1594951738,76.06049458045,5.0,15,173.18752377324066,62.772243904799346
Ursa Minor,231.01507917363,259.04211265781,70.87761974115,83.96432577552,5.0,5,244.01422556859802,77.41665380319
Vulpecula,289.2776271696,311.83696630458,15.211480767849999,30.64825519799,5.0,14,300.60489268914216,23.399184706880714
